Customer_ID,Name,Age,SSN,Occupation,snapshot_date,_ingested_at_utc
CUS_0x0000,User0,18,100-10-1000,Engineer,2023-03-01,2023-03-01 00:00:00
CUS_0x0001,User1,19,101-11-1001,Teacher,2023-03-01,2023-03-01 00:00:00
CUS_0x0002,User2,20,102-12-1002,Doctor,2023-03-01,2023-03-01 00:00:00
CUS_0x0003,User3,21,103-13-1003,Clerk,2023-03-01,2023-03-01 00:00:00
CUS_0x0004,User4,22,104-14-1004,Artist,2023-03-01,2023-03-01 00:00:00
CUS_0x0005,User5,23,105-15-1005,"",2023-03-01,2023-03-01 00:00:00
CUS_0x0006,User6,24,106-16-1006,Engineer,2023-03-01,2023-03-01 00:00:00
CUS_0x0007,User7,25,107-17-1007,Teacher,2023-03-01,2023-03-01 00:00:00
CUS_0x0008,User8,26,108-18-1008,Doctor,2023-03-01,2023-03-01 00:00:00
CUS_0x0009,User9,27,109-19-1009,Clerk,2023-03-01,2023-03-01 00:00:00
CUS_0x000a,User10,28,110-20-1010,Artist,2023-03-01,2023-03-01 00:00:00
CUS_0x000b,User11,29,111-21-1011,"",2023-03-01,2023-03-01 00:00:00
CUS_0x000c,User12,30,112-22-1012,Engineer,2023-03-01,2023-03-01 00:00:00
CUS_0x000d,User13,31,113-23-1013,Teacher,2023-03-01,2023-03-01 00:00:00
CUS_0x000e,User14,32,114-24-1014,Doctor,2023-03-01,2023-03-01 00:00:00
CUS_0x000f,User15,33,115-25-1015,Clerk,2023-03-01,2023-03-01 00:00:00
CUS_0x0010,User16,34,116-26-1016,Artist,2023-03-01,2023-03-01 00:00:00
CUS_0x0011,User17,35,117-27-1017,"",2023-03-01,2023-03-01 00:00:00
CUS_0x0012,User18,36,118-28-1018,Engineer,2023-03-01,2023-03-01 00:00:00
CUS_0x0013,User19,37,119-29-1019,Teacher,2023-03-01,2023-03-01 00:00:00
CUS_0x0014,User20,38,120-30-1020,Doctor,2023-03-01,2023-03-01 00:00:00
CUS_0x0015,User21,39,121-31-1021,Clerk,2023-03-01,2023-03-01 00:00:00
CUS_0x0016,User22,40,122-32-1022,Artist,2023-03-01,2023-03-01 00:00:00
CUS_0x0017,User23,41,123-33-1023,"",2023-03-01,2023-03-01 00:00:00
CUS_0x0018,User24,42,124-34-1024,Engineer,2023-03-01,2023-03-01 00:00:00
CUS_0x0019,User25,43,125-35-1025,Teacher,2023-03-01,2023-03-01 00:00:00
CUS_0x001a,User26,44,126-36-1026,Doctor,2023-03-01,2023-03-01 00:00:00
CUS_0x001b,User27,45,127-37-1027,Clerk,2023-03-01,2023-03-01 00:00:00
CUS_0x001c,User28,46,128-38-1028,Artist,2023-03-01,2023-03-01 00:00:00
CUS_0x001d,User29,47,129-39-1029,"",2023-03-01,2023-03-01 00:00:00
CUS_0x001e,User30,48,130-40-1030,Engineer,2023-03-01,2023-03-01 00:00:00
CUS_0x001f,User31,49,131-41-1031,Teacher,2023-03-01,2023-03-01 00:00:00
CUS_0x0020,User32,50,132-42-1032,Doctor,2023-03-01,2023-03-01 00:00:00
CUS_0x0021,User33,51,133-43-1033,Clerk,2023-03-01,2023-03-01 00:00:00
CUS_0x0022,User34,52,134-44-1034,Artist,2023-03-01,2023-03-01 00:00:00
CUS_0x0023,User35,53,135-45-1035,"",2023-03-01,2023-03-01 00:00:00
CUS_0x0024,User36,54,136-46-1036,Engineer,2023-03-01,2023-03-01 00:00:00
CUS_0x0025,User37,55,137-47-1037,Teacher,2023-03-01,2023-03-01 00:00:00
CUS_0x0026,User38,56,138-48-1038,Doctor,2023-03-01,2023-03-01 00:00:00
CUS_0x0027,User39,57,139-49-1039,Clerk,2023-03-01,2023-03-01 00:00:00
CUS_0x0028,User40,58,140-50-1040,Artist,2023-03-01,2023-03-01 00:00:00
CUS_0x0029,User41,59,141-51-1041,"",2023-03-01,2023-03-01 00:00:00
CUS_0x002a,User42,60,142-52-1042,Engineer,2023-03-01,2023-03-01 00:00:00
CUS_0x002b,User43,61,143-53-1043,Teacher,2023-03-01,2023-03-01 00:00:00
CUS_0x002c,User44,62,144-54-1044,Doctor,2023-03-01,2023-03-01 00:00:00
CUS_0x002d,User45,63,145-55-1045,Clerk,2023-03-01,2023-03-01 00:00:00
CUS_0x002e,User46,64,146-56-1046,Artist,2023-03-01,2023-03-01 00:00:00
CUS_0x002f,User47,65,147-57-1047,"",2023-03-01,2023-03-01 00:00:00
CUS_0x0030,User48,66,148-58-1048,Engineer,2023-03-01,2023-03-01 00:00:00
CUS_0x0031,User49,67,149-59-1049,Teacher,2023-03-01,2023-03-01 00:00:00
CUS_0x0032,User50,68,150-60-1050,Doctor,2023-03-01,2023-03-01 00:00:00
CUS_0x0033,User51,69,151-61-1051,Clerk,2023-03-01,2023-03-01 00:00:00
CUS_0x0034,User52,70,152-62-1052,Artist,2023-03-01,2023-03-01 00:00:00
CUS_0x0035,User53,71,153-63-1053,"",2023-03-01,2023-03-01 00:00:00
CUS_0x0036,User54,72,154-64-1054,Engineer,2023-03-01,2023-03-01 00:00:00
CUS_0x0037,User55,18,155-65-1055,Teacher,2023-03-01,2023-03-01 00:00:00
CUS_0x0038,User56,19,156-66-1056,Doctor,2023-03-01,2023-03-01 00:00:00
CUS_0x0039,User57,20,157-67-1057,Clerk,2023-03-01,2023-03-01 00:00:00
CUS_0x003a,User58,21,158-68-1058,Artist,2023-03-01,2023-03-01 00:00:00
CUS_0x003b,User59,22,159-69-1059,"",2023-03-01,2023-03-01 00:00:00
CUS_0x003c,User60,23,160-70-1060,Engineer,2023-03-01,2023-03-01 00:00:00
CUS_0x003d,User61,24,161-71-1061,Teacher,2023-03-01,2023-03-01 00:00:00
CUS_0x003e,User62,25,162-72-1062,Doctor,2023-03-01,2023-03-01 00:00:00
CUS_0x003f,User63,26,163-73-1063,Clerk,2023-03-01,2023-03-01 00:00:00
CUS_0x0040,User64,27,164-74-1064,Artist,2023-03-01,2023-03-01 00:00:00
CUS_0x0041,User65,28,165-75-1065,"",2023-03-01,2023-03-01 00:00:00
CUS_0x0042,User66,29,166-76-1066,Engineer,2023-03-01,2023-03-01 00:00:00
CUS_0x0043,User67,30,167-77-1067,Teacher,2023-03-01,2023-03-01 00:00:00
CUS_0x0044,User68,31,168-78-1068,Doctor,2023-03-01,2023-03-01 00:00:00
CUS_0x0045,User69,32,169-79-1069,Clerk,2023-03-01,2023-03-01 00:00:00
CUS_0x0046,User70,33,170-80-1070,Artist,2023-03-01,2023-03-01 00:00:00
CUS_0x0047,User71,34,171-81-1071,"",2023-03-01,2023-03-01 00:00:00
