Customer_ID,Name,Age,SSN,Occupation,snapshot_date,_ingested_at_utc
CUS_0x0000,User0,18,100-10-1000,Engineer,2024-12-01,2024-12-01 00:00:00
CUS_0x0001,User1,19,101-11-1001,Teacher,2024-12-01,2024-12-01 00:00:00
CUS_0x0002,User2,20,102-12-1002,Doctor,2024-12-01,2024-12-01 00:00:00
CUS_0x0003,User3,21,103-13-1003,Clerk,2024-12-01,2024-12-01 00:00:00
CUS_0x0004,User4,22,104-14-1004,Artist,2024-12-01,2024-12-01 00:00:00
CUS_0x0005,User5,23,105-15-1005,"",2024-12-01,2024-12-01 00:00:00
CUS_0x0006,User6,24,106-16-1006,Engineer,2024-12-01,2024-12-01 00:00:00
CUS_0x0007,User7,25,107-17-1007,Teacher,2024-12-01,2024-12-01 00:00:00
CUS_0x0008,User8,26,108-18-1008,Doctor,2024-12-01,2024-12-01 00:00:00
CUS_0x0009,User9,27,109-19-1009,Clerk,2024-12-01,2024-12-01 00:00:00
CUS_0x000a,User10,28,110-20-1010,Artist,2024-12-01,2024-12-01 00:00:00
CUS_0x000b,User11,29,111-21-1011,"",2024-12-01,2024-12-01 00:00:00
CUS_0x000c,User12,30,112-22-1012,Engineer,2024-12-01,2024-12-01 00:00:00
CUS_0x000d,User13,31,113-23-1013,Teacher,2024-12-01,2024-12-01 00:00:00
CUS_0x000e,User14,32,114-24-1014,Doctor,2024-12-01,2024-12-01 00:00:00
CUS_0x000f,User15,33,115-25-1015,Clerk,2024-12-01,2024-12-01 00:00:00
CUS_0x0010,User16,34,116-26-1016,Artist,2024-12-01,2024-12-01 00:00:00
CUS_0x0011,User17,35,117-27-1017,"",2024-12-01,2024-12-01 00:00:00
CUS_0x0012,User18,36,118-28-1018,Engineer,2024-12-01,2024-12-01 00:00:00
CUS_0x0013,User19,37,119-29-1019,Teacher,2024-12-01,2024-12-01 00:00:00
CUS_0x0014,User20,38,120-30-1020,Doctor,2024-12-01,2024-12-01 00:00:00
CUS_0x0015,User21,39,121-31-1021,Clerk,2024-12-01,2024-12-01 00:00:00
CUS_0x0016,User22,40,122-32-1022,Artist,2024-12-01,2024-12-01 00:00:00
CUS_0x0017,User23,41,123-33-1023,"",2024-12-01,2024-12-01 00:00:00
CUS_0x0018,User24,42,124-34-1024,Engineer,2024-12-01,2024-12-01 00:00:00
CUS_0x0019,User25,43,125-35-1025,Teacher,2024-12-01,2024-12-01 00:00:00
CUS_0x001a,User26,44,126-36-1026,Doctor,2024-12-01,2024-12-01 00:00:00
CUS_0x001b,User27,45,127-37-1027,Clerk,2024-12-01,2024-12-01 00:00:00
CUS_0x001c,User28,46,128-38-1028,Artist,2024-12-01,2024-12-01 00:00:00
CUS_0x001d,User29,47,129-39-1029,"",2024-12-01,2024-12-01 00:00:00
CUS_0x001e,User30,48,130-40-1030,Engineer,2024-12-01,2024-12-01 00:00:00
CUS_0x001f,User31,49,131-41-1031,Teacher,2024-12-01,2024-12-01 00:00:00
CUS_0x0020,User32,50,132-42-1032,Doctor,2024-12-01,2024-12-01 00:00:00
CUS_0x0021,User33,51,133-43-1033,Clerk,2024-12-01,2024-12-01 00:00:00
